Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
9600	-1555.106	-1537.424	-17.68253	948188	13.24016	0.998695	0.999666	1.00033	1.00131	5.979169
9700	-1554.064	-1524.767	-29.29785	951835.3	12.83963	0.998697	0.999667	1.00033	1.0013	6.873214
9800	-1565.308	-1540.844	-24.46329	412092.4	11.93566	0.998021	0.999494	1.00051	1.00198	6.483953
9900	-1576.879	-1541.563	-35.31584	55829.41	11.25063	0.994626	0.998621	1.00137	1.00538	7.408987
10000	-1569.334	-1532.489	-36.84558	268738.5	9.752094	0.997549	0.999373	1.00063	1.00245	7.489175
10100	-1558.578	-1529.432	-29.14635	545610.4	11.32419	0.99828	0.99956	1.00044	1.00172	6.863671
10200	-1576.956	-1545.318	-31.63772	542022.3	10.00342	0.998274	0.999558	1.00044	1.00173	6.991592
10300	-1548.432	-1518.823	-29.60885	627513.5	11.8406	0.998396	0.99959	1.00041	1.00161	6.91478
10400	-1573.453	-1534.015	-39.43798	580016.2	11.77573	0.998331	0.999573	1.00043	1.00167	7.749014
10500	-1567.49	-1543.436	-24.05399	133349.5	11.74279	0.996521	0.999109	1.00089	1.00348	6.440955
10600	-1565.498	-1540.084	-25.41468	504963.9	12.28997	0.998212	0.999543	1.00046	1.00179	6.570992
10700	-1565.638	-1531.99	-33.64756	794938.5	10.0495	0.998575	0.999636	1.00036	1.00143	7.197483
10800	-1560.262	-1542.941	-17.32077	387182.9	12.21584	0.997958	0.999477	1.00052	1.00204	5.907408
10900	-1568.794	-1538.487	-30.30799	6292.014	12.48784	0.984021	0.995862	1.00405	1.01607	6.964265
11000	-1570.68	-1543.538	-27.14265	35915.79	11.28412	0.993301	0.998279	1.00171	1.00672	6.684485
11100	-1574.365	-1533.693	-40.67221	77531.98	9.631156	0.995439	0.99883	1.00116	1.00457	7.872914
11200	-1546.909	-1520.108	-26.80172	351336.4	13.11365	0.997856	0.999451	1.00055	1.00215	6.671945
11300	-1573.073	-1544.335	-28.73774	612838.5	14.19968	0.998377	0.999585	1.00041	1.00162	6.758988
11400	-1561.198	-1532.655	-28.54316	778169.3	14.99552	0.998559	0.999632	1.00037	1.00144	6.685792
11500	-1566.19	-1537.635	-28.5549	96145.74	12.18703	0.995904	0.99895	1.00104	1.0041	6.827188
11600	-1555.887	-1530.83	-25.05679	940860.9	10.80717	0.99869	0.999665	1.00033	1.00131	6.455639
11700	-1579.621	-1544.62	-35.00012	695931.4	12.28305	0.998477	0.99961	1.00039	1.00152	7.351288
11800	-1560.85	-1528.522	-32.32805	261100.1	9.481983	0.997514	0.999364	1.00063	1.00249	6.979986
11900	-1562.729	-1537.877	-24.85235	836680	13.52442	0.998611	0.999645	1.00035	1.00139	6.512938
12000	-1559.001	-1532.249	-26.75183	33793.96	10.7731	0.993094	0.998225	1.00176	1.00692	6.609116
12100	-1557.583	-1525.092	-32.49161	555644.8	11.94809	0.998295	0.999564	1.00044	1.00171	7.156338
12200	-1552.556	-1523.878	-28.67751	939585.7	12.60463	0.998689	0.999665	1.00033	1.00131	6.831303
12300	-1573.175	-1549.166	-24.00912	946786.3	13.2476	0.998694	0.999666	1.00033	1.00131	6.456868
12400	-1587.355	-1547.269	-40.08687	199848.5	10.77471	0.997158	0.999272	1.00072	1.00284	7.846901
12500	-1554.764	-1530.212	-24.55199	544583.1	12.94966	0.998278	0.99956	1.00044	1.00172	6.50264
12600	-1554.914	-1529.223	-25.69029	111043.2	14.30336	0.996188	0.999023	1.00097	1.00382	6.538719
12700	-1564.465	-1531.98	-32.48526	552213.6	13.1205	0.99829	0.999563	1.00044	1.00171	7.104921
12800	-1578.478	-1540.248	-38.23079	850838	12.19018	0.998622	0.999648	1.00035	1.00138	7.620919
12900	-1583.605	-1547.003	-36.6014	666430.9	10.23117	0.998443	0.999602	1.0004	1.00156	7.503686
13000	-1563.038	-1535.519	-27.51918	715585.4	10.80377	0.998498	0.999616	1.00038	1.0015	6.683179
13100	-1549.986	-1526.534	-23.45237	761416.4	12.28973	0.998544	0.999628	1.00037	1.00146	6.411318
13200	-1543.992	-1523.206	-20.78612	587488.9	13.13403	0.998342	0.999576	1.00042	1.00166	6.213316
13300	-1592.025	-1549.653	-42.37157	156089	9.268372	0.996785	0.999176	1.00082	1.00322	8.020132
13400	-1564.897	-1536.148	-28.7493	769636.4	11.09093	0.998551	0.99963	1.00037	1.00145	6.816918
13500	-1570.101	-1533.71	-36.39048	474237.1	9.375417	0.998155	0.999528	1.00047	1.00185	7.392433
