Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
7400	-1570.658	-1539.982	-30.67643	539102.6	11.47703	0.998269	0.999557	1.00044	1.00173	7.00221
7500	-1567.835	-1537.396	-30.43867	329988.7	12.05092	0.997788	0.999434	1.00056	1.00221	6.983656
7600	-1555.495	-1524.846	-30.64838	530774.4	12.40119	0.998256	0.999554	1.00045	1.00175	6.994046
7700	-1577.742	-1544.069	-33.67298	888315.8	12.17922	0.998652	0.999655	1.00034	1.00135	7.24745
7800	-1560.056	-1535.635	-24.42039	837876	12.45599	0.998612	0.999645	1.00035	1.00139	6.492486
7900	-1566.999	-1530.526	-36.47285	601137.7	12.82358	0.998361	0.999581	1.00042	1.00164	7.433293
8000	-1544.644	-1522.385	-22.25877	377743	14.31287	0.997933	0.999471	1.00053	1.00207	6.298438
8100	-1580.355	-1542.904	-37.45084	232508.8	9.535639	0.997365	0.999325	1.00067	1.00264	7.527109
8200	-1555.262	-1533.119	-22.14311	963147.1	15.05012	0.998705	0.999669	1.00033	1.0013	6.256089
8300	-1564.619	-1532.944	-31.67485	952551.9	10.01982	0.998698	0.999667	1.00033	1.0013	6.997424
8400	-1557.535	-1524.035	-33.49951	385967.8	9.354297	0.997955	0.999477	1.00052	1.00205	7.080029
8500	-1568.991	-1531.609	-37.38158	805521.7	11.27288	0.998584	0.999638	1.00036	1.00142	7.592115
8600	-1568.689	-1544.944	-23.74419	304369.6	12.52309	0.997697	0.999411	1.00059	1.0023	6.439096
8700	-1569.932	-1537.936	-31.99659	756103	12.74631	0.998539	0.999626	1.00037	1.00146	7.088082
8800	-1567.024	-1534.678	-32.34627	158871.8	10.78688	0.996813	0.999184	1.00081	1.00319	7.129123
8900	-1570.27	-1540.989	-29.28165	885481	12.24476	0.99865	0.999655	1.00034	1.00135	6.886214
9000	-1566.568	-1533.791	-32.77719	235290	10.82189	0.997381	0.999329	1.00067	1.00262	7.170683
9100	-1570.72	-1537.152	-33.5673	378535.6	11.27088	0.997935	0.999472	1.00053	1.00207	7.25374
9200	-1571.538	-1544.495	-27.04265	682298.6	10.98441	0.998462	0.999607	1.00039	1.00154	6.654916
9300	-1572.071	-1536.642	-35.42844	819847	11.95615	0.998597	0.999641	1.00036	1.0014	7.401807
9400	-1571.284	-1532.38	-38.90475	117986.8	13.49973	0.996302	0.999052	1.00094	1.0037	7.55465
9500	-1564.356	-1538.193	-26.16276	596477.7	12.65478	0.998355	0.999579	1.00042	1.00165	6.63139
9600	-1570.941	-1537.544	-33.39694	803315.7	9.029361	0.998582	0.999637	1.00036	1.00142	6.997838
9700	-1575.891	-1538.697	-37.19439	630941.5	10.5293	0.9984	0.999591	1.00041	1.0016	7.573751
9800	-1566.932	-1537.32	-29.61191	669677.5	10.81671	0.998447	0.999603	1.0004	1.00155	6.877822
9900	-1565.567	-1540.224	-25.34266	465629.7	11.09897	0.998138	0.999524	1.00048	1.00186	6.510452
10000	-1573.656	-1536.025	-37.63021	985317.7	10.15625	0.99872	0.999673	1.00033	1.00128	7.6003
10100	-1559.229	-1530.332	-28.89751	231875	11.42008	0.997362	0.999325	1.00067	1.00264	6.845331
10200	-1548.7	-1524.232	-24.46761	864862.8	11.66318	0.998634	0.999651	1.00035	1.00137	6.472172
10300	-1567.48	-1545.276	-22.20415	608634.8	12.71898	0.998371	0.999583	1.00042	1.00163	6.31949
10400	-1562.098	-1538.959	-23.13823	882711.9	12.00871	0.998647	0.999654	1.00035	1.00135	6.376142
10500	-1564.709	-1530.339	-34.37038	687136.4	10.88581	0.998467	0.999608	1.00039	1.00153	7.319743
10600	-1572.065	-1546.155	-25.9094	856457.9	14.54735	0.998627	0.999649	1.00035	1.00137	6.539589
10700	-1577.824	-1541.199	-36.62555	59282.76	10.04917	0.994784	0.998662	1.00133	1.00523	7.49379
10800	-1566.818	-1538.768	-28.05027	511009.6	13.1272	0.998222	0.999545	1.00045	1.00178	6.766651
10900	-1563.945	-1539.683	-24.26232	92541.81	12.02402	0.995825	0.99893	1.00106	1.00418	6.470261
11000	-1560.559	-1539.927	-20.63195	600927.9	13.18351	0.998361	0.999581	1.00042	1.00164	6.201795
11100	-1565.984	-1530.474	-35.50985	555890.9	10.86492	0.998296	0.999564	1.00043	1.00171	7.42405
11200	-1552.26	-1521.109	-31.15003	687359.6	12.42829	0.998467	0.999608	1.00039	1.00153	7.033653
11300	-1564.297	-1531.66	-32.6373	33608.65	10.55819	0.993075	0.998221	1.00176	1.00694	7.142922
11400	-1565.782	-1533.156	-32.62543	110562.6	14.57006	0.99618	0.999021	1.00097	1.00383	6.999131
11500	-1558.016	-1528.472	-29.5447	74971.7	10.82729	0.995362	0.99881	1.00118	1.00465	6.872373
11600	-1564.827	-1526.029	-38.79883	896396.1	12.45804	0.998658	0.999657	1.00034	1.00134	7.646657
11700	-1573.953	-1531.058	-42.89514	647922	9.853772	0.998421	0.999596	1.0004	1.00158	8.113239
11800	-1564.701	-1535.791	-28.9101	436391.7	10.80188	0.998076	0.999508	1.00049	1.00192	6.811772
11900	-1568.069	-1540.991	-27.07732	601165.2	13.84491	0.998361	0.999581	1.00042	1.00164	6.66204
12000	-1570.756	-1533.114	-37.64219	359755.3	11.50718	0.997882	0.999458	1.00054	1.00212	7.60806
12100	-1559.489	-1529.622	-29.8678	918943.4	9.376874	0.998674	0.999661	1.00034	1.00133	6.697049
12200	-1585.8	-1553.392	-32.40791	581702.1	11.87515	0.998334	0.999574	1.00043	1.00167	7.150643
12300	-1568.62	-1535.423	-33.19668	340514.9	11.50831	0.997823	0.999443	1.00056	1.00218	7.221731
12400	-1558.802	-1523.833	-34.96883	92764.77	10.82497	0.99583	0.998931	1.00106	1.00418	7.373282
12500	-1565.715	-1539.504	-26.21052	147450.4	14.94508	0.996692	0.999153	1.00084	1.00331	6.533789
