Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
8400	-1589.712	-1556.948	-32.76367	942480.7	10.22869	0.998691	0.999665	1.00033	1.00131	7.128346
8500	-1576.935	-1544.967	-31.96738	323695.5	12.99073	0.997767	0.999428	1.00057	1.00224	7.07299
8600	-1580.096	-1551.407	-28.68973	220006.8	11.80798	0.997291	0.999307	1.00069	1.00271	6.836737
8700	-1575.66	-1547.874	-27.7863	45553.95	11.72525	0.994051	0.998473	1.00151	1.00596	6.758367
8800	-1576.766	-1564.345	-12.42098	644812.2	16.24073	0.998417	0.999595	1.0004	1.00158	5.582645
8900	-1576.797	-1550.271	-26.52591	504951.4	13.04276	0.998212	0.999543	1.00046	1.00179	6.652824
9000	-1590.38	-1563.665	-26.71518	889796.6	12.93894	0.998653	0.999655	1.00034	1.00135	6.669937
9100	-1592.892	-1557.523	-35.36895	166330.5	10.78685	0.996885	0.999202	1.00079	1.00312	7.409341
9200	-1567.107	-1542.669	-24.43813	689250.1	14.08675	0.998469	0.999609	1.00039	1.00153	6.461372
9300	-1590.315	-1564.686	-25.62836	813689.3	11.75051	0.998591	0.99964	1.00036	1.00141	6.57533
9400	-1577.558	-1548.329	-29.22947	205793.9	16.50301	0.997199	0.999283	1.00071	1.0028	6.591768
9500	-1581.444	-1551.236	-30.20782	665531.5	13.58966	0.998442	0.999602	1.0004	1.00156	6.904895
9600	-1592.718	-1558.897	-33.82032	827649.4	11.46312	0.998603	0.999643	1.00036	1.0014	7.276219
9700	-1586.239	-1551.398	-34.84059	782498.5	11.24301	0.998563	0.999633	1.00037	1.00144	7.36675
9800	-1576.931	-1549.59	-27.34082	225501.8	14.81517	0.997325	0.999315	1.00068	1.00268	6.619039
9900	-1570.622	-1540.879	-29.74248	52551.69	13.55518	0.994461	0.998578	1.00141	1.00555	6.872708
10000	-1588.065	-1552.615	-35.45047	898346.8	8.993891	0.998659	0.999657	1.00034	1.00134	7.217351
10100	-1580.222	-1548.738	-31.48327	933839.2	12.63843	0.998685	0.999664	1.00034	1.00132	7.052512
10200	-1581.303	-1553.53	-27.773	686264.3	10.93283	0.998466	0.999608	1.00039	1.00153	6.717466
10300	-1586.531	-1553.99	-32.54165	136332.5	13.12121	0.99656	0.999119	1.00088	1.00344	7.109174
10400	-1572.324	-1541.385	-30.93985	315612	13.59678	0.997738	0.999421	1.00058	1.00226	6.958287
10500	-1584.395	-1548.302	-36.09358	176392.1	11.22558	0.996975	0.999225	1.00077	1.00303	7.478371
10600	-1586.933	-1562.454	-24.47957	453145.6	12.03914	0.998112	0.999517	1.00048	1.00189	6.488802
10700	-1569.854	-1547.838	-22.01578	642695.4	12.73788	0.998415	0.999595	1.0004	1.00159	6.304937
10800	-1589.228	-1556.474	-32.75396	271973	13.29368	0.997564	0.999376	1.00062	1.00244	7.113815
10900	-1563.415	-1538.755	-24.65985	358858.7	14.45192	0.997879	0.999457	1.00054	1.00212	6.458919
11000	-1580.75	-1551.14	-29.61028	153178.8	12.8924	0.996754	0.999169	1.00083	1.00325	6.895538
11100	-1574.593	-1546.59	-28.00308	739647.5	13.319	0.998522	0.999622	1.00038	1.00148	6.755355
11200	-1572.251	-1539.583	-32.66801	597355.9	11.78655	0.998356	0.999579	1.00042	1.00165	7.173958
11300	-1572.935	-1546.61	-26.32506	978707.7	11.04841	0.998715	0.999672	1.00033	1.00129	6.594952
11400	-1579.655	-1549.839	-29.81574	721532.8	13.47215	0.998504	0.999617	1.00038	1.0015	6.88297
11500	-1576.138	-1545.009	-31.12984	669400.5	12.49099	0.998447	0.999603	1.0004	1.00155	7.02997
11600	-1584.695	-1555.526	-29.16927	117532.2	11.32408	0.996295	0.999051	1.00094	1.00371	6.865691
11700	-1572.165	-1542.693	-29.47202	48477.56	11.32252	0.994233	0.99852	1.00147	1.00578	6.892369
11800	-1587.009	-1547.562	-39.44709	898640.1	13.91474	0.998659	0.999657	1.00034	1.00134	7.547305
11900	-1596.163	-1569.229	-26.93387	396191.7	11.41129	0.997981	0.999483	1.00052	1.00202	6.672943
12000	-1568.664	-1541.332	-27.33219	926805.4	12.26444	0.99868	0.999662	1.00034	1.00132	6.727021
12100	-1581.685	-1552.943	-28.74129	587421.8	18.21705	0.998342	0.999576	1.00042	1.00166	6.387001
12200	-1578.832	-1551.107	-27.72421	727290.6	12.01346	0.99851	0.999619	1.00038	1.00149	6.758076
12300	-1580.856	-1549.779	-31.07693	325573.6	12.74498	0.997773	0.99943	1.00057	1.00223	7.015988
12400	-1583.4	-1556.622	-26.77882	804689.9	10.74324	0.998583	0.999638	1.00036	1.00142	6.608593
